"","Heliconius_01","Heliconius_02","Heliconius_03","Heliconius_04","Heliconius_05","Heliconius_06","Heliconius_07","Heliconius_08"
"Heliconius_01",NA,0.208439961075783,0.305517971515656,0.103066198527813,0.1550402790308,0.149407476186752,0.160470515489578,0.194809809327126
"Heliconius_02",0.208439961075783,NA,0.134018450975418,0.17543837428093,0.352912425994873,0.347341984510422,0.358355104923248,0.390608340501785
"Heliconius_03",0.305517971515656,0.134018450975418,NA,0.2430040538311,0.438882827758789,0.430828660726547,0.438488274812698,0.475354433059692
"Heliconius_04",0.103066198527813,0.17543837428093,0.2430040538311,NA,0.21950064599514,0.196993917226791,0.215620756149292,0.246143981814384
"Heliconius_05",0.1550402790308,0.352912425994873,0.438882827758789,0.21950064599514,NA,0.0841788128018379,0.0353077948093414,0.0867062285542488
"Heliconius_06",0.149407476186752,0.347341984510422,0.430828660726547,0.196993917226791,0.0841788128018379,NA,0.0630436465144157,0.0607511512935162
"Heliconius_07",0.160470515489578,0.358355104923248,0.438488274812698,0.215620756149292,0.0353077948093414,0.0630436465144157,NA,0.0789766907691956
"Heliconius_08",0.194809809327126,0.390608340501785,0.475354433059692,0.246143981814384,0.0867062285542488,0.0607511512935162,0.0789766907691956,NA
